Idx	Chinese	Pinyin	English	Status
0	阿米巴病	āmǐbābìng	Amoebiasis	Learnt
1	阿司匹林	āsīpǐlín	aspirin	Incorrect
2	癌变	áibiàn	cancerous	Learnt
3	癌症	áizhèng	cancer	Incorrect
4	艾滋病	àizībìng	AIDS	Incorrect
5	嗳气	àiqì	belching	Incorrect
6	安慰	ānwèi	comfort	
7	按摩	ànmó	massage	Learnt
8	熬夜	áoyè	stay up	Incorrect
9	B型超声	B xíng chāoshēng	B-mode ultrasound	Incorrect
10	疤	bā	scar	Incorrect
11	拔牙术	báyá shù	tooth extraction	Learnt
12	白斑	báibān	Leukoplakia	Learnt
13	白癜风	báidiànfēng	Vitiligo	Learnt
14	白喉	báihóu	diphtheria	Learnt
15	白化病	báihuàbìng	Albinism	Incorrect
16	白沫	báimò	white foam	Incorrect
17	白内障	báinèizhàng	cataract	Incorrect
18	白细胞	báixìbāo	leukocyte	Learnt
19	白血病	báixuèbìng	leukemia	Incorrect
20	白质	báizhì	white matter	Learnt
21	百日咳	bǎirìké	pertussis	Learnt
22	败血症	bàixuèzhèng	septicemia	Learnt
23	班	bān	class	Incorrect
24	板状腹	bǎnzhuàng fù	plate belly	
25	办理	bànlǐ	handle	
26	半衰期	bànshuāiqī	half life	Learnt
27	半月板	bànyuèbǎn	meniscus	Incorrect
28	伴随	bànsuí	to accompany	Learnt
29	伴有	bànyǒu	accompanied by	Incorrect
30	包括	bāokuò	include	
31	包扎	bāozā	to bandage	Learnt
32	薄	bó	Thin	Incorrect
33	保持	bǎochí	Maintain	Learnt
34	保健	bǎojiàn	health care	Learnt
35	保守	bǎoshǒu	keep	Learnt
36	保险	bǎoxiǎn	Insurance	Learnt
37	保养	bǎoyǎng	maintainance	
38	报告	bàogào	Report	Incorrect
39	暴饮暴食	bàoyǐnbàoshí	overeating	Learnt
40	悲观	bēiguān	pessimistic	Learnt
41	北部	běibù	the north	Learnt
42	奔马律	bēnmǎ lǜ	galloping law	Learnt
43	绷带	bēngdài	bandage (noun)	Learnt
44	鼻旁窦	bípángdòu	paranasal sinuses	Learnt
45	鼻涕	bítì	snot	Learnt
46	鼻咽癌	bíyānái	nasopharyngeal carcinoma	Incorrect
47	比例	bǐlì	Proportion	
48	必要	bìyào	necessary	Learnt
49	闭经	bìjīng	amenorrhea	Incorrect
50	避免	bìmiǎn	avoid	Learnt
51	避孕	bìyùn	contraception	
52	臂	bì	arm	Learnt
53	边界	biānjiè	boundary	
54	边缘	biānyuán	edge	
55	扁平苔癣	biǎnpíng táixuǎn	Lichen planus	
56	扁桃体炎	biǎntáotǐyán	tonsillitis	
57	变态反应	biàntàifǎnyìng	allergy	
58	变应原	biànyìngyuán	allergen	Incorrect
59	变质	biànzhì	Deteriorate 	Incorrect
60	便秘	biànmì	constipate	Incorrect
61	便血	biànxiě	blood in stool	Incorrect
62	遍布	biànbù	all over	Learnt
63	标本	biāoběn	specimen	
64	标记	biāojì	mark	
65	表面	biǎomiàn	surface	Learnt
66	表现	biǎoxiàn	Performance	
67	憋	biē	hold back	
68	并发症	bìngfāzhèng	complication	Incorrect
69	病案室	bìngàn shì	Medical record room	Incorrect
70	病程	bìngchéng	course of disease	Learnt
71	病毒	bìngdú	Virus	Learnt
72	病理	bìnglǐ	pathology	Learnt
73	病历	bìnglì	medical records	
74	病例	bìnglì	cases	
75	病史	bìngshǐ	medical history	Learnt
76	病危/重	bìngwēi / zhòng	Critically ill/serious	Incorrect
77	病因	bìngyīn	Etiology	Learnt
78	病原	bìngyuán	pathogen	Learnt
79	脖子	bózi	neck	
80	不孕	bùyùn	infertility	
81	补充	bǔchōng	Replenish	Learnt
82	补救	bǔjiù	remedy	Learnt
83	补体	bǔtǐ	complement	Learnt
84	补液	bǔyè	rehydration	
85	哺乳	bǔrǔ	breast-feeding	Learnt
86	不良	bùliáng	bad	Learnt
87	不详	bùxiáng	unknown	Incorrect
88	不足	bùzú	insufficient	
89	步骤	bùzhòu	step	Learnt
90	部位	bùwèi	parts	
91	采集	cǎijí	collection	
92	采取	cǎiqǔ	take	
93	采血室	cǎixuè shì	blood collection room	
94	彩超	cǎichāo	Color Doppler	
95	参考	cānkǎo	refer to	
96	参与	cānyù	participate	
97	残疾	cánjí	disabled	Incorrect
98	残留	cánliú	residual	Learnt
99	残胃癌	cán wèiái	Stomach cancer	Incorrect
100	苍白	cāngbái	pale	Learnt
101	操作	cāozuò	operate	
102	侧面	cèmiàn	side	Learnt
103	侧脑室	cènǎoshì	lateral ventricle	
104	侧支循环	cèzhī xúnhuán	collateral circulation	
105	测量	cèliáng	Measurement	
106	插	chā	insert	Incorrect
107	查房	cháfáng	rounds	
108	拆	chāi	dismantle	Learnt
109	产程	chǎnchéng	labor process	Incorrect
110	产道	chǎndào	Birth canal	Learnt
111	产后出血	chǎnhòu chūxuè	postpartum hemorrhage	
112	产力	chǎnlì	Productivity	Learnt
113	产褥期	chǎnrùqī	puerperium	
114	产生	chǎnshēng	produce	
115	颤抖	chàndǒu	trembling	Incorrect
116	肠闭锁	cháng bìsuǒ	intestinal atresia	Learnt
117	肠鸣音	cháng míngyīn	Bowel sounds	Incorrect
118	肠套叠	chángtàodié	intussusception	Incorrect
119	肠系膜	chángxìmó	Mesentery	Incorrect
120	场所	chǎngsuǒ	place	Incorrect
121	超敏反应	chāomǐnfǎnyìng	hypersensitivity reaction	
122	潮湿	cháoshī	wet	
123	彻底	chèdǐ	thorough	
124	沉默	chénmò	silence	Incorrect
125	辰僵	chén jiāng	Morning stiffness	Learnt
126	成分	chéngfèn	Element	Incorrect
127	成人	chéngrén	Adult	Learnt
128	成熟	chéngshú	Mature	Learnt
129	承受	chéngshòu	Endure	
130	程度	chéngdù	degree	Incorrect
131	吃力	chīlì	strenuous	
132	迟缓	chíhuǎn	slow	
133	持续	chíxù	continued	
134	尺骨	chǐgǔ	ulna	Incorrect
135	耻骨联合	chǐgǔ liánhé	pubic symphysis	Learnt
136	冲服	chōngfú	blunt	Learnt
137	充分	chōngfèn	full	Learnt
138	虫蛀牙	chóng  zhùyá	Tooth Decay	Incorrect
139	宠物	chǒngwù	parasite	Incorrect
140	抽搐	chōuchù	twitch	Incorrect
141	臭	chòu	Smelly	Learnt
142	初步	chūbù	Preliminary	Learnt
143	初产妇	chūchǎnfù	Primipara	
144	初乳	chūrǔ	colostrum	Learnt
145	处方	chǔfāng	prescription	Learnt
146	处理	chǔlǐ	deal with	
147	处女膜	chǔnǚmó	hymen	
148	杵状指	chǔ zhuàngzhǐ	Clubbing	
149	触诊	chùzhěn	palpation	Learnt
150	穿刺术	chuāncìshù	puncture	Learnt
151	穿孔	chuānkǒng	perforation	Incorrect
152	传播	chuánbō	spread	Learnt
153	传导阻滞	chuándǎo zǔzhì	conduction block	
154	传染	chuánrǎn	infect	
155	喘气	chuǎnqì	pant	Learnt
156	喘息	chuǎnxī	gasp/pant	Learnt
157	创伤	chuāngshāng	trauma	Learnt
158	垂体	chuítǐ	pituitary	Incorrect
159	雌激素	cíjīsù	Estrogen	
160	刺桐	cìtóng	Erythrina	Incorrect
161	刺激	cìjī	Stimulate	Incorrect
162	粗糙	cūcāo	rough	Incorrect
